Experiment,IAF,Index,Value
1,MLI,8,4.44
2,MLI,19,3.7
3,MLI,81,1.83
4,MLI,42,8.620000000000000
5,MLI,59,3.2
6,MLI,0,10.0
7,MLI,29,5.0
8,MLI,62,18.0
9,MLI,65,13.0
10,MLI,37,4.1
11,MLI,63,13.0
12,MLI,10,8.8
13,MLI,90,0.08200000000000000
14,MLI,3,7.1
15,MLI,44,14.3
16,MLI,95,15.0
17,MLI,47,6.7
18,MLI,80,5.950000000000000
19,MLI,36,9.0
20,MLI,31,7.9
21,MLI,6,0.175
22,MLI,49,5.7
23,MLI,73,1.87
24,MLI,92,0.32
25,MLI,98,7.2
26,MLI,22,0.34
27,MLI,28,0.12
28,MLI,34,0.8
29,MLI,61,3.0
30,MLI,16,0.1705
31,MLI,67,0.282
32,MLI,26,6.06
33,MLI,21,6.3
34,MLI,38,0.01
35,MLI,53,8.0
36,MLI,32,5.365
37,MLI,12,0.28
38,MLI,91,6.0
39,MLI,40,4.9350000000000000
40,MLI,51,6.5
41,MLI,77,4.855
42,MLI,52,1.5
43,MLI,45,0.022000000000000000
44,MLI,69,1.3215
45,MLI,24,1.26
46,MLI,11,0.01
47,MLI,75,1.8
48,MLI,89,2.0
49,MLI,1,2.9
50,MLI,55,6.075
51,MLI,25,3.2
52,MLI,71,0.05
53,MLI,72,4.6
54,MLI,68,3.0
55,MLI,87,1.8
56,MLI,79,0.07200000000000000
57,MLI,39,4.0
58,MLI,13,6.9
59,MLI,99,0.7
60,MLI,94,2.2
61,MLI,83,0.33
62,MLI,41,0.06345
63,MLI,56,0.968
64,MLI,20,4.55
65,MLI,17,1.5
66,MLI,93,1.0
67,MLI,5,6.0
68,MLI,33,0.066
69,MLI,96,1.2
70,MLI,58,0.2
71,MLI,97,0.016
72,MLI,9,1.85
73,MLI,23,0.0101
74,MLI,54,1.4
75,MLI,27,0.7
76,MLI,70,0.13
77,MLI,60,0.0571
79,MLI,50,0.45
80,MLI,88,0.14400000000000000
81,MLI,15,0.6
82,MLI,48,2.3
83,MLI,85,0.0421
84,MLI,76,1.2
85,MLI,82,1.1
86,MLI,74,0.042
87,MLI,57,0.3
88,MLI,2,0.0508
89,MLI,78,0.134
90,MLI,14,0.325
