Experiment,IAF,Index,Value
inf,Background,0,5.949999999999999
inf,Background,1,8.8
inf,Background,2,1.87
inf,Background,3,9.0
inf,Background,4,0.0309
inf,Background,5,0.2
inf,Background,6,0.01
inf,Background,7,4.0
inf,Background,8,0.45
inf,Background,9,0.282
inf,Background,10,0.016
inf,Background,11,14.3
inf,Background,12,0.06345
inf,Background,13,0.325
inf,Background,14,3.2
inf,Background,15,1.2
inf,Background,16,15.0
inf,Background,17,1.8
inf,Background,18,18.0
inf,Background,19,1.26
inf,Background,20,0.0571
inf,Background,21,0.1705
inf,Background,22,0.022000000000000002
inf,Background,23,0.0421
inf,Background,24,6.06
inf,Background,25,13.0
inf,Background,26,0.33
inf,Background,27,1.5
inf,Background,28,8.0
inf,Background,29,3.7
inf,Background,30,6.3
inf,Background,31,1.85
inf,Background,32,0.0101
inf,Background,33,8.620000000000001
inf,Background,34,1.2
inf,Background,35,0.7
inf,Background,36,0.134
inf,Background,37,4.1
inf,Background,38,6.5
inf,Background,39,6.0
inf,Background,40,1.3215
inf,Background,41,0.175
inf,Background,42,0.14400000000000002
inf,Background,43,0.13
inf,Background,44,0.07200000000000001
inf,Background,45,3.0
inf,Background,46,6.0
inf,Background,47,0.32
inf,Background,48,0.1195
inf,Background,49,0.081
inf,Background,50,2.7
inf,Background,51,5.05
inf,Background,52,0.28
inf,Background,53,0.0808
inf,Background,54,7.2
inf,Background,55,0.12
inf,Background,56,2.0
inf,Background,57,4.55
inf,Background,58,0.6
inf,Background,59,5.365
inf,Background,60,0.0913
inf,Background,61,4.9350000000000005
inf,Background,62,0.066
inf,Background,63,6.075
inf,Background,64,4.44
inf,Background,65,4.855
inf,Background,66,0.7
inf,Background,67,6.0
inf,Background,68,0.08199999999999999
inf,Background,69,10.0
inf,Background,70,1.1
inf,Background,71,0.4
inf,Background,72,0.0508
inf,Background,73,7.9
inf,Background,74,1.4
inf,Background,75,0.968
inf,Background,76,13.0
inf,Background,77,3.2
inf,Background,78,2.2
inf,Background,79,0.05
inf,Background,80,0.042
inf,Background,81,0.01
inf,Background,82,6.7
inf,Background,83,0.38
inf,Background,84,2.9
inf,Background,85,0.34
inf,Background,86,6.9
inf,Background,87,1.83
inf,Background,88,7.1
inf,Background,89,2.3
inf,Background,90,5.7
inf,Background,91,1.8
inf,Background,92,0.8
inf,Background,93,1.0
inf,Background,94,5.0
inf,Background,95,1.5
inf,Background,96,1.9
inf,Background,97,0.3
inf,Background,98,3.0
inf,Background,99,4.6
